a	@
flue	fl}:
fluent	`fl}:@nt
fluff	fl6f
fluid	`fl}:@d
fluke	fl}:k
flunk	fl6Nk
fluorescent	flU@`r\es@nt
fluoride	`flU@r\Aed
flurry	`fl6r\i:
flush	fl6S
fluster	`fl6st@
flute	fl}:t
flutter	`fl6t@
fly	flAe
foal	f@}l
foam	f@}m
fob	fOb
focus	`f@}k@s
fodder	`fOd@
foetus	`fi:t@s
fog	fOg
foil	foIl
fold	f@}ld
folder	`f@}ld@
foliage	`f@}li:IdZ
folk	f@}k
folklore	`f@}klo:
follow	`fOl@}
follow-up	`fOl@}6p
follower	`fOl@}@
following	`fOl@}IN
folly	`fOli:
fond	fOnd
food	f}:d
foodstuff	`f}:dst6f
fool	f}:l
foolproof	`f}:lpr\}:f
foot	fUt
football	`fUtbo:l
footing	`fUtIN
footnote	`fUtn@}t
footpath	`fUtp6:T
footprint	`fUtpr\Int
footstep	`fUtstep
footwear	`fUtwe:
for	fo:
forage	`fOr\IdZ
forbearance	fo:`be:r\@ns
forbid	f@`bId
forbidding	f@`bIdIN
force	fo:s
forceful	`fo:sfUl
forceps	`fo:s@ps
forcible	`fo:s@b@l
ford	fo:d
fore	fo:
forearm	`fo:r\6:m
forebear	`fo:be:
forecast	`fo:k6:st
forefinger	`fo:fINg@
foreground	`fo:gr\{Ond
forehead	`fOr\@d
foreign	`fOr\@n
foreman	`fo:m@n
foremost	`fo:m@}st
forensic	f@`r\ensIk
foresee	fo:`si:
foreshadow	fo:`S{d@}
forest	`fOr\@st
forestry	`fOr\@str\i:
forever	f@r\`ev@
foreword	`fo:w3:d
forfeit	`fo:f@t
forge	fo:dZ
forget	f@`get
forgive	f@`gIv
fork	fo:k
forklift	`fo:klIft
forlorn	f@`lo:n
form	fo:m
formal	`fo:m@l
format	`fo:m{t
formation	fo:`m{IS@n
former	`fo:m@
formidable	`fo:m@d@b@l
formula	`fo:mj@l@
formulate	`fo:mj@l{It
forsake	f@`s{Ik
fort	fo:t
forte	`fo:t{I
forth	fo:T
forthcoming	fo:T`k6mIN
forthright	`fo:Tr\Aet
fortify	`fo:t@fAe
fortnight	`fo:tnAet
fortress	`fo:tr\@s
fortunate	`fo:tS@n@t
fortune	`fo:tS@n
forty	`fo:ti:
forum	`fo:r\@m
forward	`fo:w@d
fossick	`fOsIk
fossil	`fOs@l
foster	`fOst@
fought	fo:t
foul	f{Ol
foul-mouthed	`f{Olm{ODd
found	f{Ond
foundation	f{On`d{IS@n
fountain	`f{Ont@n
four	fo:
fourteen	`fo:ti:n
fourteenth	fo:`ti:nT
fourth	fo:T
fox	fOks
foyer	`foI@
fraction	`fr\{kS@n
fracture	`fr\{ktS@
fragile	`fr\{dZAel
fragment	`fr\{gm@nt
fragrance	`fr\{Igr\@ns
frail	fr\{Il
frame	fr\{Im
framework	`fr\{Imw3:k
franchise	`fr\{ntSAez
frank	fr\{Nk
frankfurt	`fr\{Nkf@t
frantic	`fr\{ntIk
fraternal	fr\@`t3:n@l
fraud	fr\o:d
fraught	fr\o:t
fray	fr\{I
frazzled	`fr\{z@ld
freak	fr\i:k
freckle	`fr\ek@l
free	fr\i:
free-for-all	`fr\i:f@r\o:l
free-range	`fr\i:r\{IndZ
freebie	`fr\i:bi:
freedom	`fr\i:d@m
freehand	`fr\i:h{nd
freehold	`fr\i:h@}ld
freelance	`fr\i:l{ns
freeloader	`fr\i:l@}d@
freestyle	`fr\i:stAel
freeway	`fr\i:w{I
freeze	fr\i:z
freeze-dry	`fr\i:zdr\Ae
freezer	`fr\i:z@
freight	fr\{It
French	fr\entS
frenetic	fr\@`netIk
frenzy	`fr\enzi:
frequency	`fr\i:kw@nsi:
frequent	`fr\i:kw@nt
fresh	fr\eS
freshwater	`fr\eSwo:t@
fret	fr\et
friction	`fr\IkS@n
Friday	`fr\Aed{I
friday	fr\Aed{I
fridge	fr\IdZ
fried	fr\Aed
friend	fr\end
friendly	`fr\endli:
friends	fr\endz
friendship	`fr\endSIp
fright	fr\Aet
frighten	`fr\Aet@n
frightful	`fr\AetfUl
frill	fr\Il
fringe	fr\IndZ
frisk	fr\Isk
fritter	`fr\It@
frivolous	`fr\Iv@l@s
frizzy	`fr\Izi:
frock	fr\Ok
frog	fr\Og
frogman	`fr\Ogm@n
frolic	`fr\OlIk
from	fr\Om
front	fr\6nt
frontier	fr\6n`tI@
frost	fr\Ost
frostbite	`fr\OstbAet
froth	fr\OT
frown	fr\{On
froze	fr\@}z
frozen	`fr\@}z@n
frugal	`fr\}:g@l
fruit	fr\}:t
fruitcake	`fr\}:tk{Ik
frustrate	fr\6s`tr\{It
fry	fr\Ae
fuck	f6k
fuckwit	`f6kwIt
fudge	f6dZ
fuel	`fj}:@l
fugitive	`fj}:dZ@tIv
fulfil	fUl`fIl
full	fUl
full-time	fUl`tAem
fully-fledged	`fUli:fledZd
fumble	`f6mb@l
fume	fj}:m
fumigate	`fj}:m@g{It
fun	f6n
function	`f6NkS@n
functional	`f6NkS@n@l
fund	f6nd
fundamental	f6nd@`ment@l
funeral	`fj}:nr\@l
fungus	`f6Ng@s
funnel	`f6n@l
funnel-web	`f6n@lweb
funny	`f6ni:
fur	f3:
furious	`fj}:r\i:@s
furnace	`f3:n@s
furnish	`f3:nIS
furniture	`f3:nItS@
furore	`fj}:r\o:
furrow	`f6r\@}
further	`f3:D@
furthest	`f3:D@st
furtive	`f3:tIv
fury	`fj}:r\i:
fuse	fj}:z
fuss	f6s
fussy	`f6si:
futile	`fj}:tAel
future	`fj}:tS@
fuzz	f6z
fuzzy	`f6zi:
G	dZi:
g	dZi:
gable	`g{Ib@l
gadget	`g{dZ@t
gaffe	g{f
gag	g{g
gaggle	`g{g@l
gaiety	`g{I@ti:
gain	g{In
gait	g{It
gala	`g6:l@
galah	g@`l6:
galaxy	`g{l@ksi:
gale	g{Il
gallery	`g{l@r\i:
gallon	`g{l@n
gallop	`g{l@p
gallstone	`go:lst@}n
galore	g@`lo:
galvanise	`g{lv@nAez
gamble	`g{mb@l
game	g{Im
gaming	`g{ImIN
gang	g{N
gangrene	`g{Ngr\i:n
gangster	`g{Nst@
gaol	dZ{Il
gap	g{p
gape	g{Ip
garage	`g{r\6:Z
garbage	`g6:bIdZ
garden	`g6:d@n
gardener	`g6:dn@
gargle	`g6:g@l
garish	`ge:r\IS
garlic	`g6:lIk
garment	`g6:m@nt
garnish	`g6:nIS
garret	`g{r\@t
gas	g{s
gash	g{S
gasket	`g{sk@t
gasp	g{sp
gastric	`g{str\Ik
gate	g{It
gatecrash	`g{Itkr\{S
gather	`g{D@
gaudy	`go:di:
gauge	g{IdZ
gaunt	go:nt
gauze	go:z
gave	g{Iv
gavel	g{v@l
gawk	go:k
gawky	`go:ki:
gay	g{I
gaze	g{Iz
gazelle	g@zel
gazump	g@`z6mp
GDP	dZi:di:`pi:
gear	gI@
gel	dZel
gelatine	`dZel@ti:n
gem	dZem
gender	`dZend@
gene	dZi:n
general	`dZenr\@l
generate	`dZen@r\{It
generation	dZen@`r\{IS@n
generic	dZ@`ner\Ik
generous	`dZen@r\@s
genesis	`dZen@s@s
genetics	dZ@`netIks
genial	`dZi:ni:@l
genitals	`dZen@t@lz
genius	`dZi:ni:@s
genocide	`dZen@sAed
genre	`ZOnr\@
gentile	`dZentAel
gentle	`dZent@l
gentleman	`dZent@lm@n
genuine	`dZenj}:@n
geography	dZi:`Ogr\@fi:
geology	dZi:`Ol@dZi:
geometry	dZi:`Om@tr\i:
geriatric	dZer\i:`{tr\Ik
geriatrics	dZer\i:`{tr\Iks
germ	dZ3:m
German	`dZ3:m@n
gerrymander	`dZer\i:m{nd@
gesticulate	dZes`tIkj@l{It
gesture	`dZestS@
get	get
gets	gets
ghastly	`g6:stli:
gherkin	`g3:k@n
ghetto	`get@}
ghost	g@}st
giant	`dZAe@nt
gibber	`dZIb@
gibberish	`dZIb@r\IS
giddy	`gIdi:
gift	gIft
gigantic	dZAe`g{ntIk
giggle	`gIg@l
gild	gIld
gilt	gIlt
gimmick	`gImIk
ginger	`dZIndZ@
gingerly	`dZIndZ@li:
gingham	`gIN@m
gipsy	`dZIpsi:
girl	g3:l
girlfriend	`g3:lfr\end
girls'	g3:lz
girth	g3:T
gist	dZIst
give	gIv
given	gIv@n
glacier	`gl{Isi:@
glad	gl{d
glamour	`gl{m@
glance	gl{ns
gland	gl{nd
glare	gle:
glaring	`gle:r\IN
glass	gl6:s
gleam	gli:m
glean	gli:n
Glebe	gli:b
glee	gli:
glib	glIb
glide	glAed
glimmer	`glIm@
glimpse	glImps
glimpsed	glImpst
glint	glInt
glisten	`glIs@n
glitter	`glIt@
gloat	gl@}t
globe	gl@}b
gloomy	`gl}:mi:
glorious	`glo:r\i:@s
glory	`glo:r\i:
gloss	glOs
glossary	`glOs@r\i:
glove	gl6v
glow	gl@}
glucose	`gl}:k@}s
glue	gl}:
glued	gl}:d
glum	gl6m
glut	gl6t
glutton	`gl6t@n
gnash	n{S
gnaw	no:
GNP	dZi:en`pi:
go	g@}
goal	g@}l
goalkeeper	`g@}lki:p@
goat	g@}t
gobble	`gOb@l
god	gOd
goggle	`gOg@l
gold	g@}ld
golden	`g@}ld@n
goldmine	`g@}ldmAen
golf	gOlf
gone	gOn
gonorrhoea	gOn@`r\i:@
good	gUd
goodbye	gUd`bAe
goodness	`gUdn@s
goods	gUdz
goose	g}:s
gorge	go:dZ
gorgeous	`go:dZ@s
gosh	gOS
gossip	`gOs@p
got	gOt
gouge	g{OdZ
gourmet	`go:m{I
gout	g{Ot
govern	`g6v@n
government	`g6v@nm@nt
Governor	`g6v@n@
Governor-General	g6v@n@`dZenr\@l
gown	g{On
GP	dZi:`pi:
GPO	dZi:pi:`@}
grab	gr\{b
grabbed	gr\{bd
grace	gr\{Is
gracious	`gr\{IS@s
grade	gr\{Id
gradual	`gr\{dZ}:@l
graduate	`gr\{dZ}:@t
graffiti	gr\@`fi:ti:
graft	gr\6:ft
grain	gr\{In
gram	gr\{m
grammar	`gr\{m@
gran	gr\{n
grand	gr\{nd
grandchild	`gr\{ntSAeld
granddaughter	`gr\{ndo:t@
grandfather	`gr\{nf6:D@
grandiose	`gr\{ndi:@}s
grandmother	`gr\{nm6D@
grandparent	`gr\{npe:r\@nt
grandson	`gr\{ns6n
grandstand	`gr\{nst{nd
granite	`gr\{n@t
grant	gr\{nt
grape	gr\{Ip
graph	gr\{f
graphic	`gr\{fIk
graphite	`gr\{fAet
grapple	`gr\{p@l
grasp	gr\{sp
grasping	`gr\{spIN
grass	gr\6:s
grassroots	gr\6:s`r\}:ts
grate	gr\{It
grateful	`gr\{ItfUl
grater	`gr\{It@
grating	`gr\{ItIN
gratitude	`gr\{t@tS}:d
grave	gr\{Iv
gravel	`gr\{v@l
graveyard	`gr\{Ivj6:d
gravitate	`gr\{v@t{It
gravity	`gr\{v@ti:
gravy	`gr\{Ivi:
graze	gr\{Iz
grazier	`gr\{Izi:@
grease	gr\i:s
greaseproof	`gr\i:spr\}:f
great	gr\{It
greedy	`gr\i:di:
Greek	gr\i:k
green	gr\i:n
greengrocer	`gr\i:ngr\@}s@
greenhouse	`gr\i:nh{Os
greet	gr\i:t
greeting	`gr\i:tIN
grenade	gr\@`n{Id
grevillea	gr\@`vIli:@
grew	gr\}:
grey	gr\{I
grid	gr\Id
grief	gr\i:f
grievance	`gr\i:v@ns
grill	gr\Il
grille	gr\Il
grim	gr\Im
grimace	`gr\Im@s
grime	gr\Aem
grin	gr\In
grind	gr\Aend
grip	gr\Ip
gripe	gr\Aep
grisly	`gr\Izli:
gristle	`gr\Is@l
grit	gr\It
grizzle	`gr\Iz@l
groan	gr\@}n
grocer	`gr\@}s@
groceries	`gr\@}s@r\i:z
grog	gr\Og
groggy	`gr\Ogi:
groin	gr\oIn
groom	gr\}:m
groomsman	`gr\}:mzm@n
groove	gr\}:v
grope	gr\@}p
gross	gr\@}s
grotesque	gr\@}`tesk
grotty	`gr\Oti:
grouch	gr\{OtS
ground	gr\{Ond
groundwork	`gr\{Ondw3:k
group	gr\}:p
grout	gr\{Ot
grove	gr\@}v
grovel	`gr\Ov@l
grow	gr\@}
growl	gr\{Ol
grown	gr\@}n
growth	gr\@}T
grub	gr\6b
grubby	`gr\6bi:
grudge	gr\6dZ
grudging	`gr\6dZIN
gruelling	`gr\}:lIN
gruesome	`gr\}:s@m
gruff	gr\6f
grumble	`gr\6mb@l
grumpy	`gr\6mpi:
grunt	gr\6nt
guarantee	g{r\@n`ti:
guard	g6:d
guardian	`g6:di:@n
guerilla	g@`r\Il@
guess	ges
guest	gest
guffaw	g6`fo:
guidance	`gAed@ns
guide	gAed
guile	gAel
guilt	gIlt
guitar	g@`t6:
gulf	g6lf
gullet	`g6l@t
gullible	`g6l@b@l
gully	`g6li:
gulp	g6lp
gum	g6m
gumboot	`g6mb}:t
gun	g6n
gurgle	`g3:g@l
gush	g6S
gust	g6st
gusto	`g6st@}
gut	g6t
gutter	`g6t@
guy	gAe
guzzle	`g6z@l
gym	dZIm
gymnasium	dZIm`n{Izi:@m
gymnastics	dZIm`n{stIks
gynaecologist	gAen@`kOl@dZ@st
gypsy	`dZIpsi:
H	{ItS
h	{ItS
habit	`h{b@t
habitat	`h{b@t{t
hack	h{k
hacksaw	`h{kso:
had	h{d
hade	h{Id
hadnt	`h{d@nt
haemoglobin	hi:m@`gl@}b@n
haemophilia	hi:m@`fIli:@
haemorrhage	`hem@r\IdZ
haemorrhoid	`hem@r\oId
haggard	`h{g@d
haggle	`h{g@l
hah	h6:
hail	h{Il
hair	he:
hair-raising	`he:r\{IzIN
haircut	`he:k6t
hairdo	`he:d}:
hairdresser	`he:dr\es@
haired	he:d
hairstyle	`he:stAel
Hal	h{l
half	h6:f
half-brother	`h6:fbr\6D@
half-hearted	`h6:fh6:t@d
half-sister	`h6:fsIst@
halfway	`h6:fw{I
hall	ho:l
hallmark	`ho:lm6:k
Halloween	h{l@wi:n
hallucinate	h@`l}:s@n{It
hallway	`ho:lw{I
halo	`h{Il@}
halt	ho:lt
halve	h6:v
ham	h{m
hamburger	`h{mb3:g@
hammer	`h{m@
hammock	`h{m@k
hamper	`h{mp@
hamstring	`h{mstr\IN
han	h{n
hand	h{nd
handbag	`h{ndb{g
handcuffs	`h{ndk6fs
handful	`h{ndfUl
handicap	`h{ndi:k{p
handicraft	`h{ndi:kr\6:ft
handkerchief	`h{Nk@tSi:f
handle	`h{nd@l
handmade	`h{ndm{Id
handout	`h{nd{Ot
hands-on	h{ndz`On
handshake	`h{ndS{Ik
handsome	`h{ns@m
handwriting	`h{ndr\AetIN
handy	`h{ndi:
hane	h{In
hang	h{N
hang-glider	`h{NglAed@
hang-up	`h{N6p
hangar	`h{N@
hanger	`h{N@
hangover	`h{N@}v@
hankie	`h{Nki:
haphazard	h{p`h{z@d
happen	`h{p@n
happy	`h{pi:
harass	h@`r\{s
harbour	`h6:b@
hard	h6:d
hardly	`h6:dli:
hardship	`h6:dSIp
hardware	`h6:dwe:
hardy	`h6:di:
harl	h6:l
harm	h6:m
harmony	`h6:m@ni:
harn	h6:n
harness	`h6:n@s
harp	h6:p
harpoon	h6:`p}:n
harsh	h6:S
harvest	`h6:v@st
has	h{z
hash	h{S
hassle	`h{s@l
haste	h{Ist
hat	h{t
hat-trick	`h{ttr\Ik
hatch	h{tS
hatchback	`h{tSb{k
hatchet	`h{tS@t
hate	h{It
haughty	`ho:ti:
haul	ho:l
haunt	ho:nt
have	h{v
haven	`h{Iv@n
havoc	`h{v@k
hawk	ho:k
hay	h{I
haywire	`h{IwAe@
hazard	`h{z@d
haze	h{Iz
hazel	`h{Iz@l
he	hi:
he'd	hi:d
head	hed
head-on	hed`On
headache	`hed{Ik
heading	`hedIN
headland	`hedl{nd
headlight	`hedlAet
headline	`hedlAen
headquarters	`hedkwo:t@z
headstone	`hedst@}n
headstrong	`hedstr\ON
headteacher	`hedti:tS@
headway	`hedw{I
headwind	`hedwInd
heal	hi:l
health	helT
heap	hi:p
hear	hI@
heared	hI@d
hearing	`hI@r\IN
hearsay	`hI@s{I
hearse	h3:s
heart	h6:t
heartache	`h6:t{Ik
heartbreak	`h6:tbr\{Ik
heartburn	`h6:tb3:n
hearten	`h6:t@n
heartless	`h6:tl@s
hearty	`h6:ti:
heat	hi:t
heater	`hi:t@
heathen	hi:D@n
heatwave	`hi:tw{Iv
heave	hi:v
heaven	`hev@n
heavy	`hevi:
heckle	`hek@l
hectare	`hekte:
hectic	`hektIk
hedge	hedZ
heed	hi:d
heel	hi:l
heen	hi:n
hefty	`hefti:
heifer	`hef@
height	hAet
heighten	`hAet@n
heights	hAets
heir	e:
heirloom	`e:l}:m
held	held
Helen	hel@n
helicopter	`heli:kOpt@
heliport	`heli:po:t
hell	hel
hello	h6`l@}
helm	helm
helmet	`helm@t
help	help
helping	`helpIN
helpless	`helpl@s
hem	hem
hemisphere	`hem@sfI@
hemline	`hemlAen
hemp	hemp
hen	hen
hence	hens
henceforth	hens`fo:T
hepatitis	hep@`tAet@s
her	h3:
herald	`her\@ld
herb	h3:b
herd	h3:d
here	hI@
heredity	h@`r\ed@ti:
heresy	`her\@si:
heritage	`her\@tIdZ
hermit	`h3:m@t
hernia	`h3:ni:@
hero	`hI@r\@}
heroin	`her\@w@n
heroine	`her\@w@n
herpes	`h3:pi:z
hers	h3:z
herself	h@`self
hesitate	`hez@t{It
het	het
heterosexual	het@r\@`sekS}:@l
hew	hj}:
heyday	`h{Id{I
hi	hAe
hi-fi	`hAefAe
hibernate	`hAeb@n{It
hiccup	`hIk6p
hid	hId
hidden	`hId@n
hide	hAed
hideaway	`hAed@w{I
hideous	`hIdi:@s
hierarchy	`hAe@r\6:ki:
high	hAe
highbrow	`hAebr\{O
highland	`hAel@nd
highlight	`hAelAet
highlighter	`hAelAet@
highly	`hAeli:
highway	`hAew{I
hijack	`hAedZ{k
hike	hAek
hilarious	h@`le:r\i:@s
hile	hAel
hill	hIl
hilt	hIlt
him	hIm
himself	hIm`self
hin	hIn
hind	hAend
hinder	`hInd@
hindsight	`hAendsAet
Hinduism	`hInd}:Iz@m
hine	hAen
hinge	hIndZ
hinges	hIndZ@z
hint	hInt
hip	hIp
hire	`hAe@
hire-purchase	hAe@`p3:tS@s
his	hIz
hiss	hIs
historic	hI`stOr\Ik
historical	hI`stOr\Ik@l
history	`hIstr\i:
hit	hIt
hit-and-run	hIt@n`r\6n
hitch	hItS
hitchhike	`hItShAek
hitherto	hID@`t}:
hive	hAev
hoard	ho:d
hoarding	`ho:dIN
hoarse	ho:s
hoax	h@}ks
hobble	`hOb@l
hobby	`hObi:
hobbyhorse	`hObi:ho:s
hockey	`hOki:
hod	hOd
hode	h@}d
hoe	h@}
hog	hOg
hoil	hoIl
hoin	hoIn
hoist	hoIst
hoit	hoIt
hold	h@}ld
hold-up	`h@}ld6p
hole	h@}l
holiday	`hOl@d{I
holl	hOl
hollow	`hOl@}
holocaust	`hOl@kOst
hologram	`hOl@gr\{m
holster	`h@}lst@
holy	`h@}li:
homage	`hOmIdZ
home	h@}m
homeland	`h@}ml{nd
homesick	`h@}msIk
homestead	`h@}msted
homework	`h@}mw3:k
homicide	`hOm@sAed
homoeopathy	h@}mi:`Op@Ti:
homogeneous	h@}m@`dZi:ni:@s
homosexual	h@}m@}`sekS}:@l
hon	hOn
hone	h@}n
honest	`On@st
honey	`h6ni:
honeycomb	`h6ni:k@}m
honeymoon	`h6ni:m}:n
honorary	`On@r\@r\i:
honour	`On@
honourable	`On@r\@b@l
hood	hUd
hoodlum	`h}:dl@m
hoodwink	`hUdwINk
hoof	hUf
hook	hUk
hool	h}:l
hooligan	`h}:li:g@n
hooll	hUl
hoon	h}:n
hoop	h}:p
hoot	h}:t
hoott	hUt
hop	hOp
hope	h@}p
hopeful	`h@}pfUl
hopeless	`h@}pl@s
horde	ho:d
hore	ho:
horizon	h@`r\Aez@n
horizontal	hOr\@`zOnt@l
hormone	`ho:m@}n
horn	ho:n
horoscope	`hOr\@sk@}p
horrendous	h@`r\end@s
horrible	`hOr\@b@l
horrify	`hOr\@fAe
horror	`hOr\@
horse	ho:s
horseshoe	`ho:sS}:
hort	ho:t
horticulture	`ho:t@k6ltS@
hose	h@}z
hosiery	`h@}Z@r\i:
hospice	`hOsp@s
hospital	`hOsp@t@l
hospitality	hOsp@`t{l@ti:
host	h@}st
hostage	`hOstIdZ
hostel	`hOstel
hostile	`hOstAel
hot	hOt
hote	h@}t
hotel	h@}`tel
hothouse	`hOth{Os
hotline	`hOtlAen
hotplate	`hOtpl{It
hound	h{Ond
hour	{O@
house	h{Os
house-warming	`h{Oswo:mIN
housebreaker	`h{Osbr\{Ik@
household	`h{Osh@}ld
housekeeping	`h{Oski:pIN
housewife	`h{OswAef
housework	`h{Osw3:k
hovel	`hOv@l
hover	`hOv@
hovercraft	`hOv@kr\6:ft
hovered	hOv@d
how	h{O
howd	h{Od
however	h{O`ev@
howl	h{Ol
hown	h{On
howt	h{Ot
hoy	hoI
hoyd	hoId
HQ	{ItS`kj}:
hr	{O@
HSC	{ItSes`si:
ht	hAet
hub	h6b
hud	h6d
huddle	`h6d@l
hue	hj}:
hug	h6g
huge	hj}:dZ
hulk	h6lk
hull	h6l
hullo	`h6l@}
hum	h6m
human	`hj}:m@n
humane	hj}:`m{In
humanitarian	hj}:m{n@`te:r\i:@n
humanity	hj}:`m{n@ti:
humble	`h6mb@l
humdrum	`h6mdr\6m
humid	`hj}:m@d
humiliate	hj}:`mIli:{It
humility	hj}:`mIl@ti:
humour	`hj}:m@
hump	h6mp
humpy	`h6mpi:
hun	h6n
hunch	h6ntS
hundred	`h6ndr\@d
hung	h6N
Hungarian	h6N`ge:r\i:@n
hunger	`h6Ng@
hunt	h6nt
hunter	h6nt@
hurdle	`h3:d@l
hurl	h3:l
hurled	h3:ld
hurn	h3:n
hurrah	h@r\6:
hurray	h@`r\{I
hurricane	`h6r\@k{In
hurry	`h6r\i:
hurt	h3:t
hurtful	`h3:tfUl
hurtle	`h3:t@l
husband	`h6zb@nd
hush	h6S
husk	h6sk
husky	`h6ski:
hustle	`h6s@l
hut	h6t
hutch	h6tS
hwy	`hAew{I
hybrid	`hAebr\@d
hydrant	`hAedr\@nt
hydraulic	hAe`dr\OlIk
hydro-electric	hAedr\@}@`lektr\Ik
hydrofoil	`hAedr\@foIl
hydroponics	hAedr\@`pOnIks
hygiene	`hAedZi:n
hymn	hIm
hype	hAep
hyped-up	`hAept6p
hyphen	`hAef@n
hypnosis	hIp`n@}s@s
hypochondriac	hAep@`kOndr\i:{k
hypocrite	`hIp@kr\It
hypodermic	hAep@`d3:mIk
hypothesis	hAe`pOT@s@s
hysterectomy	hIst@`r\ekt@mi:
hysteria	hIs`tI@r\i:@
I	Ae
i	Ae
I	Ae
i.e.	Ae`i:
I'll	Ael
I've	Aev
ice	Aes
ice-cream	`Aeskr\i:m
iceberg	`Aesb3:g
icicle	`AesIk@l
icing	`AesIN
ID	Ae`di:
idea	Ae`dI@
ideal	Ae`di:l
identical	Ae`dentIk@l
identification	Aedent@f@`k{IS@n
identify	Ae`dent@fAe
identity	Ae`dent@ti:
idiom	`Idi:@m
idiot	`Idi:@t
idle	`Aed@l
idol	`Aed@l
if	If
ignite	Ig`nAet
ignition	Ig`nIS@n
ignorant	`Ign@r\@nt
ignore	Ig`no:
ill	Il
illegal	I`li:g@l
illegible	I`ledZ@b@l
illegitimate	Il@`dZIt@m@t
illicit	I`lIs@t
illiterate	I`lIt@r\@t
illuminate	@`l}:m@n{It
illusion	@`l}:Z@n
illustrate	`Il@str\{It
image	`ImIdZ
imaginary	@`m{dZ@nr\i:
imagination	@m{dZ@`n{IS@n
imagine	@`m{dZ@n
imam	`Im6:m
imbecile	`Imb@si:l
imitate	`Im@t{It
immaculate	@`m{kj@l@t
immature	`Im@tSU@
immediate	@`mi:di:@t
immense	@`mens
immerse	@`m3:s
immigrant	`Im@gr\@nt
imminent	`Im@n@nt
immoral	I`mOr\@l
immortal	I`mo:t@l
immune	@`mj}:n
impact	`Imp{kt
impair	Im`pe:
impartial	Im`p6:S@l
impatient	Im`p{IS@nt
impede	Im`pi:d
imperative	Im`per\@tIv
imperfect	Im`p3:fekt
imperial	Im`pI@r\i:@l
impersonal	Im`p3:s@n@l
impersonate	Im`p3:s@n{It
impertinent	Im`p3:t@n@nt
impetuous	Im`petj}:@s
implement	`Impl@m@nt
implicate	`Impl@k{It
implication	Impl@`k{IS@n
implicit	Im`plIs@t
implore	Im`plo:
imply	Im`plAe
impolite	Imp@`lAet
import	Im`po:t
important	Im`po:t@nt
impose	Im`p@}z
imposing	Im`p@}zIN
impossible	Im`pOs@b@l
imposter	Im`pOst@
impotent	`Imp@t@nt
impress	Im`pr\es
impression	Im`pr\eS@n
imprison	Im`pr\Iz@n
improve	Im`pr\}:v
impudent	`Impj@d@nt
impulse	`Imp6ls
impure	Im`pjU@
in	In
in-	In
in-laws	`Inlo:z
in-patient	`Inp{IS@nt
inaccurate	I`n{kj@r\@t
inadequate	I`n{d@kw@t
inane	I`n{In
inanimate	I`n{n@m@t
inappropriate	In@`pr\@}pr\i:@t
incapacitate	Ink@`p{s@t{It
incentive	In`sentIv
incessant	In`ses@nt
incest	`Insest
inch	IntS
incidence	`Ins@d@ns
incident	`Ins@d@nt
incidental	Ins@`dent@l
incinerate	In`sIn@r\{It
incite	In`sAet
incline	`INklAen
inclined	IN`klAend
include	IN`kl}:d
inclusive	IN`kl}:sIv
incoherent	INk@}`hI@r\@nt
income	`Ink6m
incoming	`Ink6mIN
incompetent	IN`kOmp@t@nt
inconvenient	INk@n`vi:ni:@nt
incorporate	IN`ko:p@r\{It
increase	IN`kr\i:s
increased	INkr\i:st
incredible	IN`kr\ed@b@l
incur	IN`k3:
indebted	In`det@d
indecent	In`di:s@nt
indeed	In`di:d
indefinite	In`def@n@t
indent	In`dent
independent	Ind@`pend@nt
index	`Indeks
indicate	`Ind@k{It
indicator	`Ind@k{It@
indifferent	In`dIfr\@nt
indigenous	In`dIdZ@n@s
indigestion	Ind@`dZestS@n
indignant	In`dIgn@nt
indispensable	Ind@s`pens@b@l
indisposed	Ind@s`p@}zd
indisputable	Ind@s`pj}:t@b@l
individual	Ind@`vIdZ}:@l
indoctrinate	In`dOktr\@n{It
indolent	`Ind@l@nt
Indonesian	Ind@`ni:Z@n
indoors	In`do:z
induce	In`dj}:s
indulge	In`d6ldZ
industry	`Ind@str\i:
inept	In`ept
inevitable	In`ev@t@b@l
inevitably	In`ev@t@bli:
inexperience	In@k`spI@r\i:@ns
infamous	`Inf@m@s
infant	`Inf@nt
infatuated	In`f{tS}:{It@d
infection	In`fekS@n
infectious	In`fekS@s
infer	In`f3:
inferior	In`fI@r\i:@
infest	In`fest
infidelity	Inf@`del@ti:
infiltrate	`Inf@ltr\{It
infinite	`Inf@n@t
infinitive	In`fIn@tIv
inflame	In`fl{Im
inflammable	In`fl{m@b@l
inflate	In`fl{It
inflation	In`fl{IS@n
inflect	In`flekt
inflexible	In`fleks@b@l
inflict	In`flIkt
influence	`Infl}:@ns
influenza	Infl}:`enz@
influx	`Infl6ks
inform	In`fo:m
informal	In`fo:m@l
information	Inf@`m{IS@n
infuriate	In`fj}:r\i:{It
ingenious	In`dZi:ni:@s
ingrained	`Ingr\{Ind
ingratiate	In`gr\{ISi:{It
ingratitude	In`gr\{t@tS}:d
ingredient	In`gr\i:di:@nt
inhabit	In`h{b@t
inhale	In`h{Il
inherit	In`her\@t
initial	@`nIS@l
initiate	@`nISi:{It
initiative	@`nIS@tIv
inject	In`dZekt
injure	`IndZ@
injustice	In`dZ6st@s
ink	INk
inkling	`INklIN
inlaid	`Inl{Id
inland	`Inl{nd
inmate	`Inm{It
inner	`In@
innings	`InINz
innocent	`In@s@nt
