'em	@ m
transmutable	' t r\ { n z m j - ' }: t - @ b l
transmutation	' t r\ { n z m j - }: t - ' {I S - @ n
transmutations	' t r\ { n z m j - }: t - ' {I S - @ n z
transmute	' t r\ { n z m j - ' }: t
transmuted	' t r\ { n z m j - ' }: t - I d
transmutes	' t r\ { n z m j - ' }: t s
transmuting	' t r\ { n z m j - ' }: t - I N
transoceanic	' t r\ { n z - ' @} S - I - ' { n - I k
transom	' t r\ { n s - @ m
transom-window	' t r\ { n s - @ m - ' w I n d - @}
transom-windows	' t r\ { n s - @ m - ' w I n d - @} z
transoms	' t r\ { n s - @ m z
transparence	' t r\ { n s - ' p { r\ - @ n s
transparencies	' t r\ { n s - ' p { r\ - @ n s - I z
transparency	' t r\ { n s - ' p { r\ - @ n s - i:
transparent	' t r\ { n s - ' p { r\ - @ n t
transparently	' t r\ { n s - ' p { r\ - @ n t - l i:
transpiration	' t r\ { n s - p I r\ - ' {I S - @ n
transpire	' t r\ { n s - ' p Ae - @ r\
transpired	' t r\ { n s - ' p Ae - @ d
transpires	' t r\ { n s - ' p Ae - @ z
transpiring	' t r\ { n s - ' p Ae - @ r\ - I N
transplant	' t r\ { n s - ' p l 6: n t
transplantation	' t r\ { n s - p l 6: n t - ' {I S - @ n
transplantations	' t r\ { n s - p l 6: n t - ' {I S - @ n z
transplanted	' t r\ { n s - ' p l 6: n t - I d
transplanting	' t r\ { n s - ' p l 6: n t - I N
transplants	' t r\ { n s - ' p l 6: n t s
transpolar	' t r\ { n z p - ' @} l - @ r\
transport	' t r\ { n s - ' p o: t
transportable	' t r\ { n s - ' p o: t - @ b l
transportation	' t r\ { n s - p o: t - ' {I S - @ n
transported	' t r\ { n s - ' p o: t - I d
transporter	' t r\ { n s - ' p o: t - @ r\
transporters	' t r\ { n s - ' p o: t - @ z
transporting	' t r\ { n s - ' p o: t - I N
transports	' t r\ { n s - ' p o: t s
transpose	' t r\ { n s - ' p @} z
transposed	' t r\ { n s - ' p @} z d
transposes	' t r\ { n s - ' p @} z - I z
transposing	' t r\ { n s - ' p @} z - I N
transposition	' t r\ { n s - p @ z - ' I S - @ n
transpositions	' t r\ { n s - p @ z - ' I S - @ n z
transsexual	' t r\ { n z s - ' e k - S u@ l
transsexuals	' t r\ { n z s - ' e k - S u@ l z
transship	' t r\ { n S - ' I p
transshipment	' t r\ { n S - ' I p - m @ n t
transshipments	' t r\ { n S - ' I p - m @ n t s
transshipped	' t r\ { n S - ' I p t
transshipping	' t r\ { n S - ' I p - I N
transships	' t r\ { n S - ' I p s
transubstantiation	' t r\ { n s - @ b s - ' t { n S - I - ' {I S - @ n
transverse	' t r\ { n z - v @@ s
transversely	' t r\ { n z - v @@ s - l i:
transvestism	' t r\ { n z - ' v e s - t I z - @ m
transvestite	' t r\ { n z - ' v e s - t Ae t
transvestites	' t r\ { n z - ' v e s - t Ae t s
trap	' t r\ { p
trap-door	' t r\ { p - d o: r\
trap-doors	' t r\ { p - d o: z
trap-shooting	' t r\ { p - S }: t - I N
trapeze	' t r\ @ p - ' i: z
trapezes	' t r\ @ p - ' i: z - I z
trapezium	' t r\ @ p - ' i: z - i@ m
trapeziums	' t r\ @ p - ' i: z - i@ m z
trapezoid	' t r\ { p - I z - oI d
trapezoids	' t r\ { p - I z - oI d z
trapped	' t r\ { p t
trapper	' t r\ { p - @ r\
trappers	' t r\ { p - @ z
trapping	' t r\ { p - I N
trappings	' t r\ { p - I N z
traps	' t r\ { p s
trash	' t r\ { S
trashier	' t r\ { S - i@ r\
trashiest	' t r\ { S - I - I s t
trashy	' t r\ { S - i:
trauma	' t r\ o: m - @
traumas	' t r\ o: m - @ z
traumatic	' t r\ o: m - ' { t - I k
travail	' t r\ { v - {I l
travails	' t r\ { v - {I l z
travel	' t r\ { v - @ l
travel-soiled	' t r\ { v l - s oI l d
travel-stained	' t r\ { v l - s t {I n d
travel-worn	' t r\ { v l - w o: n
traveled	' t r\ { v - @ l d
travelled	' t r\ { v - @ l d
traveller	' t r\ { v - l @ r\
travellers	' t r\ { v - l @ z
travelling	' t r\ { v - @ l - I N
travelogue	' t r\ { v - @ l - O g
travelogues	' t r\ { v - @ l - O g z
travels	' t r\ { v - @ l z
traverse	' t r\ { v - @@ s
traversed	' t r\ { v - @@ s t
traverses	' t r\ { v - @@ s - I z
traversing	' t r\ { v - @@ s - I N
travestied	' t r\ { v - @ s - t I d
travesties	' t r\ { v - @ s - t I z
travesty	' t r\ { v - @ s - t i:
travestying	' t r\ { v - @ s - t I - I N
trawl	' t r\ o: l
trawl-net	' t r\ o: l - n e t
trawl-nets	' t r\ o: l - n e t s
trawled	' t r\ o: l d
trawler	' t r\ o: l - @ r\
trawlers	' t r\ o: l - @ z
trawling	' t r\ o: l - I N
trawls	' t r\ o: l z
tray	' t r\ {I
tray-cloth	' t r\ {I - k l O T
tray-cloths	' t r\ {I - k l O T s
trays	' t r\ {I z
treacheries	' t r\ e tS - @ r\ - I z
treacherous	' t r\ e tS - @ r\ - @ s
treacherously	' t r\ e tS - @ r\ - @ s - l i:
treachery	' t r\ e tS - @ r\ - i:
treacle	' t r\ i: k l
treacly	' t r\ i: k - l i:
tread	' t r\ e d
treading	' t r\ e d - I N
treadle	' t r\ e d l
treadled	' t r\ e d l d
treadles	' t r\ e d l z
treadling	' t r\ e d - l I N
treadmill	' t r\ e d - m I l
treadmills	' t r\ e d - m I l z
treads	' t r\ e d z
treas	' t r\ e Z - @ r\ - @ r\
treason	' t r\ i: z n
treasonable	' t r\ i: z - @ n - @ b l
treasonably	' t r\ i: z - @ n - @ b - l i:
treasonous	' t r\ i: z - @ n - @ s
treasure	' t r\ e Z - @ r\
treasure-house	' t r\ e Z - @ - h au s
treasure-houses	' t r\ e Z - @ - h au z - I z
treasure-trove	' t r\ e Z - @ - t r\ @} v
treasured	' t r\ e Z - @ d
treasurer	' t r\ e Z - @ r\ - @ r\
treasurers	' t r\ e Z - @ r\ - @ z
treasures	' t r\ e Z - @ z
treasuries	' t r\ e Z - @ r\ - I z
treasuring	' t r\ e Z - @ r\ - I N
treasury	' t r\ e Z - @ r\ - i:
treat	' t r\ i: t
treated	' t r\ i: t - I d
treaties	' t r\ i: t - I z
treating	' t r\ i: t - I N
treatise	' t r\ i: t - I s
treatises	' t r\ i: t - I s - I z
treatment	' t r\ i: t - m @ n t
treatments	' t r\ i: t - m @ n t s
treats	' t r\ i: t s
treaty	' t r\ i: t - i:
treble	' t r\ e b l
trebled	' t r\ e b l d
trebles	' t r\ e b l z
trebling	' t r\ e b - l I N
tree	' t r\ i:
tree-fern	' t r\ i: - f @@ n
tree-ferns	' t r\ i: - f @@ n z
treed	' t r\ i: d
treeing	' t r\ i: - I N
treeless	' t r\ i: l - @ s
trees	' t r\ i: z
trefoil	' t r\ e f - oI l
trefoils	' t r\ e f - oI l z
trek	' t r\ e k
trekked	' t r\ e k t
trekking	' t r\ e k - I N
treks	' t r\ e k s
trellis	' t r\ e l - I s
trellised	' t r\ e l - I s t
trellises	' t r\ e l - I s - I z
trellising	' t r\ e l - I s - I N
tremble	' t r\ e m b l
trembled	' t r\ e m b l d
trembles	' t r\ e m b l z
trembling	' t r\ e m b - l I N
tremendous	' t r\ I m - ' e n d - @ s
tremendously	' t r\ I m - ' e n d - @ s - l i:
tremolo	' t r\ e m - @ l - @}
tremolos	' t r\ e m - @ l - @} z
tremor	' t r\ e m - @ r\
tremors	' t r\ e m - @ z
tremulous	' t r\ e m j - U l - @ s
tremulously	' t r\ e m j - U l - @ s - l i:
trench	' t r\ e n tS
trenchancy	' t r\ e n tS - @ n s - i:
trenchant	' t r\ e n tS - @ n t
trenchantly	' t r\ e n tS - @ n t - l i:
trenched	' t r\ e n tS t
trencher	' t r\ e n tS - @ r\
trencherman	' t r\ e n tS - @ m - @ n
trenchermen	' t r\ e n tS - @ m - @ n
trenchers	' t r\ e n tS - @ z
trenches	' t r\ e n tS - I z
trenching	' t r\ e n tS - I N
trend	' t r\ e n d
trend-setter	' t r\ e n d - s e t - @ r\
trend-setters	' t r\ e n d - s e t - @ z
trend-setting	' t r\ e n d - s e t - I N
trended	' t r\ e n d - I d
trendier	' t r\ e n d - i@ r\
trendiest	' t r\ e n d - I - I s t
trending	' t r\ e n d - I N
trends	' t r\ e n d z
trendy	' t r\ e n d - i:
trepan	' t r\ I p - ' { n
trepanned	' t r\ I p - ' { n d
trepanning	' t r\ I p - ' { n - I N
trepans	' t r\ I p - ' { n z
trephine	' t r\ I f - ' i: n
trephined	' t r\ I f - ' i: n d
trephines	' t r\ I f - ' i: n z
trephining	' t r\ I f - ' i: n - I N
trepidation	' t r\ e p - I d - ' {I S - @ n
trespass	' t r\ e s - p @ s
trespassed	' t r\ e s - p @ s t
trespasser	' t r\ e s - p @ s - @ r\
trespassers	' t r\ e s - p @ s - @ z
trespasses	' t r\ e s - p @ s - I z
trespassing	' t r\ e s - p @ s - I N
tress	' t r\ e s
tresses	' t r\ e s - I z
trestle	' t r\ e s l
trestle-bridge	' t r\ e s l - b r\ I dZ
trestle-bridges	' t r\ e s l - b r\ I dZ - I z
trestle-table	' t r\ e s l - t {I b l
trestle-tables	' t r\ e s l - t {I b l z
trestles	' t r\ e s l z
trews	' t r\ }: z
tri-	t r\ Ae
triad	' t r\ Ae - { d
triads	' t r\ Ae - { d z
triage	t r\ i: - ' { Z
trial	' t r\ Ae - @ l
trials	' t r\ Ae - @ l z
triangle	' t r\ Ae - { N g l
triangles	' t r\ Ae - { N g l z
triangular	' t r\ Ae - ' { N g - j U l - @ r\
tribal	' t r\ Ae b l
tribalism	' t r\ Ae b - @ l - I z - @ m
tribe	' t r\ Ae b
tribes	' t r\ Ae b z
tribesman	' t r\ Ae b - z m @ n
tribesmen	' t r\ Ae b - z m @ n
tribulation	' t r\ I b - j U l - ' {I S - @ n
tribulations	' t r\ I b - j U l - ' {I S - @ n z
tribunal	' t r\ Ae b - ' j }: n l
tribunals	' t r\ Ae b - ' j }: n l z
tribune	' t r\ I b - j }: n
tribunes	' t r\ I b - j }: n z
tributaries	' t r\ I b - j U t - @ r\ - I z
tributary	' t r\ I b - j U t - @ r\ - i:
tribute	' t r\ I b - j }: t
tributes	' t r\ I b - j }: t s
trice	' t r\ Ae s
triced	' t r\ Ae s t
trices	' t r\ Ae s - I z
tricing	' t r\ Ae s - I N
trick	' t r\ I k
tricked	' t r\ I k t
trickery	' t r\ I k - @ r\ - i:
trickier	' t r\ I k - i@ r\
trickiest	' t r\ I k - I - I s t
trickiness	' t r\ I k - I n - I s
tricking	' t r\ I k - I N
trickle	' t r\ I k l
trickled	' t r\ I k l d
trickles	' t r\ I k l z
trickling	' t r\ I k - l I N
tricks	' t r\ I k s
trickster	' t r\ I k - s t @ r\
tricksters	' t r\ I k - s t @ z
tricksy	' t r\ I k - s i:
tricky	' t r\ I k - i:
tricolour	' t r\ I k - @ l - @ r\
tricolours	' t r\ I k - @ l - @ z
tricycle	' t r\ Ae s - I k l
tricycles	' t r\ Ae s - I k l z
trident	' t r\ Ae d n t
tridents	' t r\ Ae d n t s
tried	' t r\ Ae d
triennial	' t r\ Ae - ' e n - i@ l
triennials	' t r\ Ae - ' e n - i@ l z
trier	' t r\ Ae - @ r\
triers	' t r\ Ae - @ z
tries	' t r\ Ae z
trifle	' t r\ Ae f - @ l
trifled	' t r\ Ae f - @ l d
trifler	' t r\ Ae f - l @ r\
triflers	' t r\ Ae f - l @ z
trifles	' t r\ Ae f - @ l z
trifling	' t r\ Ae f - l I N
trigger	' t r\ I g - @ r\
trigger-happy	' t r\ I g - @ - h { p - i:
triggered	' t r\ I g - @ d
triggering	' t r\ I g - @ r\ - I N
triggers	' t r\ I g - @ z
trigonometry	' t r\ I g - @ n - ' O m - @ t - r\ i:
trilateral	' t r\ Ae l - ' { t - @ r\ - @ l
trilbies	' t r\ I l b - I z
trilby	' t r\ I l b - i:
trill	' t r\ I l
trilled	' t r\ I l d
trilling	' t r\ I l - I N
trillion	' t r\ I l - i@ n
trillions	' t r\ I l - i@ n z
trillionth	' t r\ I l - i@ n T
trillionths	' t r\ I l - i@ n T s
trills	' t r\ I l z
trilogies	' t r\ I l - @ dZ - I z
trilogy	' t r\ I l - @ dZ - i:
trim	' t r\ I m
trimaran	' t r\ Ae m - @ r\ - { n
trimarans	' t r\ Ae m - @ r\ - { n z
trimly	' t r\ I m - l i:
trimmed	' t r\ I m d
trimmer	' t r\ I m - @ r\
trimmers	' t r\ I m - @ z
trimmest	' t r\ I m - I s t
trimming	' t r\ I m - I N
trimmings	' t r\ I m - I N z
trims	' t r\ I m z
trinities	' t r\ I n - I t - I z
trinitrotoluene	' t r\ Ae n - ' Ae t - r\ @} t - ' O l j - U - i: n
trinity	' t r\ I n - I t - i:
trinket	' t r\ I N k - I t
trinkets	' t r\ I N k - I t s
trio	' t r\ i: - @}
trios	' t r\ i: - @} z
trip	' t r\ I p
tripartite	' t r\ Ae p - ' 6: t - Ae t
tripe	' t r\ Ae p
triple	' t r\ I p l
tripled	' t r\ I p l d
triples	' t r\ I p l z
triplet	' t r\ I p - l @ t
triplets	' t r\ I p - l @ t s
triplex	' t r\ I p - l e k s
triplicate	' t r\ I p - l I k - {I t
triplicated	' t r\ I p - l I k - {I t - I d
triplicates	' t r\ I p - l I k - {I t s
triplicating	' t r\ I p - l I k - {I t - I N
tripling	' t r\ I p - l I N
tripod	' t r\ Ae p - O d
tripods	' t r\ Ae p - O d z
tripos	' t r\ Ae p - O s
triposes	' t r\ Ae p - O s - I z
tripped	' t r\ I p t
tripper	' t r\ I p - @ r\
trippers	' t r\ I p - @ z
tripping	' t r\ I p - I N
trippingly	' t r\ I p - I N - l i:
trips	' t r\ I p s
triptych	' t r\ I p - t I k
triptychs	' t r\ I p - t I k s
trireme	' t r\ Ae r\ - i: m
triremes	' t r\ Ae r\ - i: m z
trisect	' t r\ Ae s - ' e k t
trisected	' t r\ Ae s - ' e k - t I d
trisecting	' t r\ Ae s - ' e k - t I N
trisects	' t r\ Ae s - ' e k t s
trite	' t r\ Ae t
tritely	' t r\ Ae t - l i:
triteness	' t r\ Ae t - n @ s
tritium	' t r\ I t - I - 6 m
triumph	' t r\ Ae - @ m f
triumphal	' t r\ Ae - ' 6 m f - @ l
triumphant	' t r\ Ae - ' 6 m f - @ n t
triumphantly	' t r\ Ae - ' 6 m f - @ n t - l i:
triumphed	' t r\ Ae - @ m f t
triumphing	' t r\ Ae - @ m f - I N
triumphs	' t r\ Ae - @ m f s
triumvir	' t r\ Ae - ' 6 m v - @ r\
triumvirate	' t r\ Ae - ' 6 m v - I r\ - @ t
triumvirates	' t r\ Ae - ' 6 m v - I r\ - @ t s
triumvirs	' t r\ Ae - ' 6 m v - @ z
triune	' t r\ Ae j - }: n
trivet	' t r\ I v - I t
trivets	' t r\ I v - I t s
trivia	' t r\ I v - i@
trivial	' t r\ I v - i@ l
trivialities	' t r\ I v - I - ' { l - I t - I z
triviality	' t r\ I v - I - ' { l - I t - i:
trivialize	' t r\ I v - i@ l - Ae z
trivialized	' t r\ I v - i@ l - Ae z d
trivializes	' t r\ I v - i@ l - Ae z - I z
trivializing	' t r\ I v - i@ l - Ae z - I N
trivially	' t r\ I v - i@ l - i:
trochaic	' t r\ @} k - ' {I - I k
trochee	' t r\ @} k - i:
trochees	' t r\ @} k - i: z
trod	' t r\ O d
trodden	' t r\ O d n
troglodyte	' t r\ O g - l @ d - Ae t
troglodytes	' t r\ O g - l @ d - Ae t s
troika	' t r\ oI k - @
troikas	' t r\ oI k - @ z
troll	' t r\ @} l
trolled	' t r\ @} l d
trolley	' t r\ O l - i:
trolley-car	' t r\ O l - I - k 6: r\
trolley-cars	' t r\ O l - I - k 6: z
trolleys	' t r\ O l - I z
trolling	' t r\ @} l - I N
trollop	' t r\ O l - @ p
trollops	' t r\ O l - @ p s
trolls	' t r\ @} l z
trombone	' t r\ O m b - ' @} n
trombones	' t r\ O m b - ' @} n z
trombonist	' t r\ O m b - ' @} n - I s t
trombonists	' t r\ O m b - ' @} n - I s t s
troop	' t r\ }: p
troop-carrier	' t r\ }: p - k { r\ - i@ r\
troop-carriers	' t r\ }: p - k { r\ - i@ z
trooped	' t r\ }: p t
trooper	' t r\ }: p - @ r\
troopers	' t r\ }: p - @ z
trooping	' t r\ }: p - I N
troops	' t r\ }: p s
troopship	' t r\ }: p - S I p
troopships	' t r\ }: p - S I p s
trope	' t r\ @} p
tropes	' t r\ @} p s
trophies	' t r\ @} f - I z
trophy	' t r\ @} f - i:
tropic	' t r\ O p - I k
tropical	' t r\ O p - I k l
tropically	' t r\ O p - I k - l i:
tropics	' t r\ O p - I k s
trot	' t r\ O t
troth	' t r\ @} T
trots	' t r\ O t s
trotted	' t r\ O t - I d
trotter	' t r\ O t - @ r\
trotters	' t r\ O t - @ z
trotting	' t r\ O t - I N
troubadour	' t r\ }: b - @ d - o: r\
troubadours	' t r\ }: b - @ d - o: z
trouble	' t r\ 6 b l
troubled	' t r\ 6 b l d
troublemaker	' t r\ 6 b l m - {I k - @ r\
troublemakers	' t r\ 6 b l m - {I k - @ z
troubles	' t r\ 6 b l z
troubleshooter	' t r\ 6 b l S - }: t - @ r\
troubleshooters	' t r\ 6 b l S - }: t - @ z
troublesome	' t r\ 6 b l s - @ m
troubling	' t r\ 6 b - l I N
troublous	' t r\ 6 b - l @ s
trough	' t r\ O f
troughs	' t r\ O f s
trounce	' t r\ au n s
trounced	' t r\ au n s t
trounces	' t r\ au n s - I z
trouncing	' t r\ au n s - I N
trouncings	' t r\ au n s - I N z
troupe	' t r\ }: p
trouper	' t r\ }: p - @ r\
troupers	' t r\ }: p - @ z
troupes	' t r\ }: p s
trouser	' t r\ au z - @ r\
trousers	' t r\ au z - @ z
trousseau	' t r\ }: s - @}
trousseaus	' t r\ }: s - @} z
trousseaux	' t r\ }: s - @} z
trout	' t r\ au t
trove	' t r\ @} v
troves	' t r\ @} v z
trowel	' t r\ au - @ l
trowels	' t r\ au - @ l z
troy	' t r\ oI
truancies	' t r\ }: - @ n s - I z
truancy	' t r\ }: - @ n s - i:
truant	' t r\ }: - @ n t
truants	' t r\ }: - @ n t s
truce	' t r\ }: s
truces	' t r\ }: s - I z
truck	' t r\ 6 k
trucking	' t r\ 6 k - I N
truckle	' t r\ 6 k l
truckle-bed	' t r\ 6 k l - b e d
truckle-beds	' t r\ 6 k l - b e d z
truckled	' t r\ 6 k l d
truckles	' t r\ 6 k l z
truckling	' t r\ 6 k - l I N
trucks	' t r\ 6 k s
truculence	' t r\ 6 k - j U l - @ n s
truculency	' t r\ 6 k - j U l - @ n s - i:
truculent	' t r\ 6 k - j U l - @ n t
truculently	' t r\ 6 k - j U l - @ n t - l i:
trudge	' t r\ 6 dZ
trudged	' t r\ 6 dZ d
trudges	' t r\ 6 dZ - I z
trudging	' t r\ 6 dZ - I N
true	' t r\ }:
true-blue	' t r\ }: - ' b l }:
true-blues	' t r\ }: - ' b l }: z
true-hearted	' t r\ }: - ' h 6: t - I d
trued	' t r\ }: d
truelove	' t r\ }: l - ' 6 v
trueloves	' t r\ }: l - ' 6 v z
truer	' t r\ }: - @ r\
trues	' t r\ }: z
truest	' t r\ }: - I s t
truffle	' t r\ 6 f l
truffles	' t r\ 6 f l z
truing	' t r\ }: - I N
truism	' t r\ }: - I z - @ m
truisms	' t r\ }: - I z - @ m z
truly	' t r\ }: l - i:
trump	' t r\ 6 m p
trumped	' t r\ 6 m p t
trumpery	' t r\ 6 m p - @ r\ - i:
trumpet	' t r\ 6 m p - I t
trumpeted	' t r\ 6 m p - I t - I d
trumpeter	' t r\ 6 m p - I t - @ r\
trumpeters	' t r\ 6 m p - I t - @ z
trumpeting	' t r\ 6 m p - I t - I N
trumpets	' t r\ 6 m p - I t s
trumping	' t r\ 6 m p - I N
trumps	' t r\ 6 m p s
truncate	' t r\ 6 N k - ' {I t
truncated	' t r\ 6 N k - ' {I t - I d
truncates	' t r\ 6 N k - ' {I t s
truncating	' t r\ 6 N k - ' {I t - I N
truncheon	' t r\ 6 n tS - @ n
truncheons	' t r\ 6 n tS - @ n z
trundle	' t r\ 6 n d l
trundled	' t r\ 6 n d l d
trundles	' t r\ 6 n d l z
trundling	' t r\ 6 n d - l I N
trunk	' t r\ 6 N k
trunk-call	' t r\ 6 N k - k o: l
trunk-calls	' t r\ 6 N k - k o: l z
trunk-line	' t r\ 6 N k - l Ae n
trunk-lines	' t r\ 6 N k - l Ae n z
trunk-road	' t r\ 6 N k - r\ @} d
trunk-roads	' t r\ 6 N k - r\ @} d z
trunking	' t r\ 6 N k - I N
trunks	' t r\ 6 N k s
truss	' t r\ 6 s
trussed	' t r\ 6 s t
trusses	' t r\ 6 s - I z
trussing	' t r\ 6 s - I N
trust	' t r\ 6 s t
trusted	' t r\ 6 s - t I d
trustee	' t r\ 6 s - ' t i:
trustees	' t r\ 6 s - ' t i: z
trusteeship	' t r\ 6 s - ' t i: S - I p
trusteeships	' t r\ 6 s - ' t i: S - I p s
trustful	' t r\ 6 s - t f @ l
trustfully	' t r\ 6 s - t f @ l - i:
trustier	' t r\ 6 s - t i@ r\
trustiest	' t r\ 6 s - t I - I s t
trusting	' t r\ 6 s - t I N
trustingly	' t r\ 6 s - t I N - l i:
trusts	' t r\ 6 s t s
trustworthiness	' t r\ 6 s - t w @@ D - I n - @ s
trustworthy	' t r\ 6 s - t w @@ D - i:
trusty	' t r\ 6 s - t i:
truth	' t r\ }: T
truthful	' t r\ }: T - f @ l
truthfully	' t r\ }: T - f @ l - i:
truthfulness	' t r\ }: T - f @ l n - @ s
truths	' t r\ }: D z
try	' t r\ Ae
try-on	' t r\ Ae - O n
try-ons	' t r\ Ae - O n z
try-out	' t r\ Ae - au t
try-outs	' t r\ Ae - au t s
trying	' t r\ Ae - I N
tryst	' t r\ I s t
trysts	' t r\ I s t s
tsetse	' t s e t - s i:
tsetse-flies	' t s e t - s I - f l Ae z
tsetse-fly	' t s e t - s I - f l Ae
tsetses	' t s e t - s I z
tu quoque	' t j }: - ' k w @} k - w i:
tub	' t 6 b
tub-thumper	' t 6 b - T 6 m p - @ r\
tub-thumpers	' t 6 b - T 6 m p - @ z
tuba	' t j }: b - @
tubas	' t j }: b - @ z
tubbier	' t 6 b - i@ r\
tubbiest	' t 6 b - I - I s t
tubby	' t 6 b - i:
tube	' t j }: b
tube-well	' t j }: b - w e l
tube-wells	' t j }: b - w e l z
tubeless	' t j }: b - l @ s
tuber	' t j }: b - @ r\
tubercular	' t j }: b - ' @@ k - j U l - @ r\
tuberculosis	' t j }: b - ' @@ k - j U l - ' @} s - I s
tuberculous	' t j }: b - ' @@ k - j U l - @ s
tubers	' t j }: b - @ z
tubes	' t j }: b z
tubful	' t 6 b f - U l
tubfuls	' t 6 b f - U l z
tubing	' t j }: b - I N
tubs	' t 6 b z
tubular	' t j }: b - j U l - @ r\
tuck	' t 6 k
tuck-in	' t 6 k - I n
tuck-ins	' t 6 k - I n z
tuck-shop	' t 6 k - S O p
tuck-shops	' t 6 k - S O p s
tucked	' t 6 k t
tucker	' t 6 k - @ r\
tuckers	' t 6 k - @ z
tucking	' t 6 k - I N
tucks	' t 6 k s
tuft	' t 6 f t
tufted	' t 6 f - t I d
tufts	' t 6 f t s
tug	' t 6 g
tugboat	' t 6 g - b @} t
tugboats	' t 6 g - b @} t s
tugged	' t 6 g d
tugging	' t 6 g - I N
tugs	' t 6 g z
tuition	' t j }: - ' I S - @ n
tulip	' t j }: l - I p
tulips	' t j }: l - I p s
tulle	' t j }: l
tumble	' t 6 m b l
tumble-down	' t 6 m b l - d au n
tumbled	' t 6 m b l d
tumbler	' t 6 m b - l @ r\
tumblers	' t 6 m b - l @ z
tumbles	' t 6 m b l z
tumbleweed	' t 6 m b l w - i: d
tumbling	' t 6 m b - l I N
tumbrel	' t 6 m b - r\ @ l
tumbrels	' t 6 m b - r\ @ l z
tumbril	' t 6 m b - r\ @ l
tumbrils	' t 6 m b - r\ @ l z
tumescence	' t j }: m - ' e s n s
tumescences	' t j }: m - ' e s n s - I z
tumescent	' t j }: m - ' e s n t
tumid	' t j }: m - I d
tumidity	' t j }: m - ' I d - I t - i:
tummies	' t 6 m - I z
tummy	' t 6 m - i:
tumour	' t j }: m - @ r\
tumours	' t j }: m - @ z
tumuli	' t j }: m j - U l - Ae
tumult	' t j }: m - 6 l t
tumults	' t j }: m - 6 l t s
tumultuous	' t j }: m - ' 6 l tS - u@ s
tumultuously	' t j }: m - ' 6 l tS - u@ s - l i:
tumulus	' t j }: m j - U l - @ s
tun	' t 6 n
tuna	' t j }: n - @
tunas	' t j }: n - @ z
tundra	' t 6 n d - r\ @
tundras	' t 6 n d - r\ @ z
tune	' t j }: n
tuned	' t j }: n d
tuneful	' t j }: n f - @ l
tunefully	' t j }: n f - @ l - i:
tunefulness	' t j }: n f - @ l n - @ s
tuner	' t j }: n - @ r\
tuners	' t j }: n - @ z
tunes	' t j }: n z
tung-oil	' t 6 N - oI l
tungsten	' t 6 N s - t @ n
tunic	' t j }: n - I k
tunics	' t j }: n - I k s
tuning	' t j }: n - I N
tuning-fork	' t j }: n - I N - f o: k
tuning-forks	' t j }: n - I N - f o: k s
tunnel	' t 6 n l
tunnelled	' t 6 n l d
tunnelling	' t 6 n - @ l - I N
tunnels	' t 6 n l z
tunnies	' t 6 n - I z
tunny	' t 6 n - i:
tuns	' t 6 n z
tup	' t 6 p
tuppence	' t 6 p - @ n s
tuppences	' t 6 p - @ n s - I z
tuppenny	' t 6 p - @ n - i:
tups	' t 6 p s
turban	' t @@ b - @ n
turbaned	' t @@ b - @ n d
turbans	' t @@ b - @ n z
turbid	' t @@ b - I d
turbidity	' t @@ b - ' I d - I t - i:
turbidness	' t @@ b - I d - n @ s
turbine	' t @@ b - Ae n
turbines	' t @@ b - Ae n z
turbojet	' t @@ b - @} dZ - ' e t
turbojets	' t @@ b - @} dZ - ' e t s
turboprop	' t @@ b - @} p - ' r\ O p
turboprops	' t @@ b - @} p - ' r\ O p s
turbot	' t @@ b - @ t
turbulence	' t @@ b - j U l - @ n s
turbulences	' t @@ b - j U l - @ n s - I z
turbulent	' t @@ b - j U l - @ n t
turbulently	' t @@ b - j U l - @ n t - l i:
turd	' t @@ d
turds	' t @@ d z
tureen	' t j U r\ - ' i: n
tureens	' t j U r\ - ' i: n z
turf	' t @@ f
turfed	' t @@ f t
turfing	' t @@ f - I N
turfs	' t @@ f s
turgid	' t @@ dZ - I d
turgidity	' t @@ dZ - ' I d - I t - i:
turgidly	' t @@ dZ - I d - l i:
turkey	' t @@ k - i:
turkeys	' t @@ k - I z
turmeric	' t @@ m - @ r\ - I k
turmoil	' t @@ m - oI l
turmoils	' t @@ m - oI l z
turn	' t @@ n
turn-off	' t @@ n - O f
turn-offs	' t @@ n - O f s
turn-on	' t @@ n - O n
turn-ons	' t @@ n - O n z
turn-out	' t @@ n - au t
turn-outs	' t @@ n - au t s
turn-round	' t @@ n - r\ au n d
turn-rounds	' t @@ n - r\ au n d z
turn-up	' t @@ n - 6 p
turn-ups	' t @@ n - 6 p s
turnaround	' t @@ n - @ r\ - ' au n d
turncoat	' t @@ n k - @} t
turncoats	' t @@ n k - @} t s
turncock	' t @@ n k - O k
turncocks	' t @@ n k - O k s
turned	' t @@ n d
turner	' t @@ n - @ r\
turners	' t @@ n - @ z
turning	' t @@ n - I N
turning-point	' t @@ n - I N - p oI n t
turning-points	' t @@ n - I N - p oI n t s
turnings	' t @@ n - I N z
turnip	' t @@ n - I p
turnips	' t @@ n - I p s
turnkey	' t @@ n k - i:
turnkeys	' t @@ n k - i: z
turnover	' t @@ n - @} v - @ r\
turnovers	' t @@ n - @} v - @ z
turnpike	' t @@ n p - Ae k
turnpikes	' t @@ n p - Ae k s
turns	' t @@ n z
